utterance,hedge,L_context1,L_context2,R_context1,function,ID
special is it no you know what I mean ? well you can pay for the you pay extra for certain covers yeah yeah but I mean that 's only different sort of sort of material or fabric or something like that yeah yeah but you know the actual you know cos I was looking at the stuff which,sort,RB,JJ,NN,propositional,S0598_2014
which would be quite good I think mm yeah yeah so we 're we 're we 're we 're thinking about doing that but er otherwise it 's you know sort of looking for the other thing the other thing we 're going to Switzerland in erm in er July right it 's it surround er it 's it coincides it,sort,PP,VVP,VVG,pragmatic marker,S0598_2014
myth it really happened I did n't see that one coming oh my god the poor old man we all keeps coming over and ah but that s the sort of social media thing that could go viral viral oh my god cos we said you should take a piece in the Evening Telegraph and apologise,sort,VBZ,DT,JJ,propositional,S0603_2014
grill was on not the oven so the top 's a bit burnt so we 'll give it a break and we 'll come back when we 're a bit more hungry it s the sort of pudding you ve got to be hungry to eat it was n't a great deal of effort so I 'm alright but it 'd be nice to go down what time is it ? it 's,sort,VBZ,DT,NN,propositional,S0604_2014
and wide it was really wide that 's it and I I got and I managed to walk about twenty foot and then sat down and I did n't move he just sort of was like this and it listening to everybody else whispering around and was glued to the thing so right anybody else want a tea or,sort,PP,RB,VBD,pragmatic marker,S0604_2014
as well like her er where she 's living this girl at work erm she 's living with a lady that her friend used to live with when she was sort of like temping round here yeah and like she the person that the girl was saying that had told her a story erm I was going to it 's like that,sort,PP,VBD,JJ,pragmatic marker,S0605_2014
there was not they were proper hockey boots they looked like I think everyone had to have them I know but they 'd I mean they were sort of things you had to have for school but mm because they looked like erm what used to be sort of those American plimsoll things that came,sort,PP,VBD,NNS,pragmatic marker,S0607_2014
I ever did like yeah but apart from that cos everyone was desperate for friends at that point in uni like in the first and er we were sort of just forced together you know you live in the hotel and stuff and it sort of just afterwards I realised once I 'd moved in to my flat I was,sort,PP,VBD,RB,pragmatic marker,S0607_2014
did n't we ? yeah god cos we only switch off last thing at night usually do n't we ? yeah yeah but they erm you know a lot of them updates are sort of things like updates for Windows Media Player or updates for something else I mean that 's it yeah yeah yeah things you do n't use you,sort,VVZ,VBP,NNS,pragmatic marker,S0607_2014
and pregnant men you know and then people with a longstanding illness and erm he was meant to cos obviously flu can affect it any sort of illness can and I got my letter for my flu jab before he did oh that reminds me of a picture I saw is it Caitlyn Jenner who 's now a man ? yeah,sort,PP,DT,NN,propositional,S0607_2014
anything on it yeah mm oh it 's an art form is n't it ? it is so I sort of yes well it does it 's tricks of the trade really I have to sort of sort out text boxes and that type of thing mm and also you do n't want it to look as though you have used a text box so you 've got to move,sort,VHP,TO,NN,propositional,S0607_2014
I was looking up other law textbooks that they have to have it must be like only law books and it 's so expensive when it 's it s sort of the original like you said it 's like the of law because obviously you have statutes but you have a lot of common law yeah erm things so,sort,PP,VBZ,DT,pragmatic marker,S0618_2014
erm yeah the the I had mm okra in tomato curry yeah and prawns yeah both of them yummy were just really good really ? and then had er sort of extra vegetable curry for free okay plus er ten percent off for picking up that 's good collectio that 's good you know collection in,sort,VHD,JJ,JJ,propositional,S0618_2014
you know beakers and sort of you know Bunsen burners and whatever but is there something that you can actually send them in a sort of interesting kind of you know way where it actually surmises what you 've just said to me without losing them yeah ? but just something that,sort,IN,DT,JJ,propositional,S0618_2014
well well I 'd suggest that I mean I know quite a lot about the market because obviously I 've worked in it but if you wanted some erm sort of reassurance that that,sort,DT,JJ,NN,propositional,S0618_2014
you go to your countries you select to go and have a look yes mm there are the cultural things and observing business and all those sort of things that s great but another th the foundational things you need to understand okay foundation is culture yeah you 're right yes,sort,PDT,DT,NNS,propositional,S0618_2014
okay I 'm doing research on my doctorate degree but what if er and then what if there 's crossover though ? well you come to some sort of arrangement most of the time well people understand you 're doing a doctorate degree understand that you 've got to produce original work,sort,IN,DT,NN,propositional,S0618_2014
if you really got the end game being on the erm the er publishing companies erm most of the way I think you actually get to do this sort of work is when you 've been hanging around here and getting to know people in the right places er publishing in academia ? ye er,sort,VV,DT,NN,propositional,S0618_2014
until the Monday and I wo n't get them till like the third of January no that 's a long time is n't it ? and I need yeah and I so I sort of thought I might just have a word with them and invoice them the week before and yeah see if they 'll just add that next week on then and,sort,RB,PP,NN,pragmatic marker,S0618_2014
developer who worked at for three years and now working here she 's got quite a good job here in erm she 's one of the head sort of developers and she said look it 's not about video video is just a way to convey information it 's what you do with the video and the,sort,DT,NN,NNS,propositional,S0618_2014
